IP,id,id2,counter,core_temp,ADC1,ADC2,ADC3,battery
fd00::212:4b00:615:aaee,171,0,264,23096,17460,0,1492,3213
fd00::212:4b00:615:aaee,171,0,265,23572,17460,0,1492,3214
fd00::212:4b00:615:aaee,171,0,266,23096,17460,0,1492,3212
fd00::212:4b00:615:aaee,171,0,267,23334,17460,0,1492,3212
fd00::212:4b00:615:aaee,171,0,268,23572,17456,0,1496,3212
fd00::212:4b00:615:aaee,171,0,269,23096,17452,0,1492,3210
fd00::212:4b00:615:aaee,171,0,270,23572,17456,0,1492,3213
fd00::212:4b00:615:aaee,171,0,271,23096,17460,0,1492,3211
fd00::212:4b00:615:aaee,171,0,272,23572,17464,0,1492,3213
fd00::212:4b00:615:aaee,171,0,273,23096,17460,0,1492,3210
fd00::212:4b00:615:aaee,171,0,274,23334,17456,0,1492,3210
fd00::212:4b00:615:aaee,171,0,275,23334,17456,0,1492,3210
fd00::212:4b00:615:aaee,171,0,276,23334,17460,0,1492,3211
fd00::212:4b00:615:aaee,171,0,277,23334,17464,0,1492,3211
fd00::212:4b00:615:aaee,171,0,278,23572,17464,0,1488,3211
fd00::212:4b00:615:aaee,171,0,279,23334,17460,0,1488,3208
fd00::212:4b00:615:aaee,171,0,280,23572,17460,0,1492,3209
fd00::212:4b00:615:aaee,171,0,281,23572,17460,0,1492,3209
fd00::212:4b00:615:aaee,171,0,282,23572,17464,0,1496,3208
fd00::212:4b00:615:aaee,171,0,283,23334,17460,0,1492,3207
fd00::212:4b00:615:aaee,171,0,284,23334,17456,0,1492,3207
fd00::212:4b00:615:aaee,171,0,285,23334,17460,0,1492,3206
fd00::212:4b00:615:aaee,171,0,286,23334,17460,0,1492,3205
fd00::212:4b00:615:aaee,171,0,287,23572,17464,0,1492,3207
fd00::212:4b00:615:aaee,171,0,288,23334,17460,0,1492,3205
fd00::212:4b00:615:aaee,171,0,289,23096,17460,0,1492,3204
fd00::212:4b00:615:aaee,171,0,290,23334,17460,0,1496,3206
fd00::212:4b00:615:aaee,171,0,291,23334,17460,0,1492,3206
fd00::212:4b00:615:aaee,171,0,292,23096,17460,0,1492,3206
fd00::212:4b00:615:aaee,171,0,293,23096,17464,0,1492,3203
fd00::212:4b00:615:aaee,171,0,294,23334,17464,0,1492,3203
fd00::212:4b00:615:aaee,171,0,295,22858,17464,0,1488,3202
fd00::212:4b00:615:aaee,171,0,296,23334,17464,0,1488,3203
fd00::212:4b00:615:aaee,171,0,297,23096,17464,0,1492,3201
fd00::212:4b00:615:aaee,171,0,298,23334,17460,0,1492,3202
fd00::212:4b00:615:aaee,171,0,299,23334,17456,0,1492,3200
fd00::212:4b00:615:aaee,171,0,300,23096,17456,0,1492,3199
fd00::212:4b00:615:aaee,171,0,301,23334,17460,0,1488,3201
fd00::212:4b00:615:aaee,171,0,302,22858,17464,0,1492,3199
fd00::212:4b00:615:aaee,171,0,303,23334,17464,0,1492,3201
fd00::212:4b00:615:aaee,171,0,304,22858,17464,0,1492,3198
fd00::212:4b00:615:aaee,171,0,305,23096,17464,0,1492,3199
fd00::212:4b00:615:aaee,171,0,306,22858,17464,0,1492,3197
fd00::212:4b00:615:aaee,171,0,307,23096,17464,0,1492,3198
fd00::212:4b00:615:aaee,171,0,308,23096,17464,0,1492,3198
fd00::212:4b00:615:aaee,171,0,309,23096,17468,0,1488,3198
fd00::212:4b00:615:aaee,171,0,310,22858,17468,0,1488,3195
fd00::212:4b00:615:aaee,171,0,311,23096,17464,0,1492,3196
fd00::212:4b00:615:aaee,171,0,312,23096,17464,0,1492,3195
fd00::212:4b00:615:aaee,171,0,313,23096,17464,0,1492,3194
fd00::212:4b00:615:aaee,171,0,314,23096,17460,0,1492,3193
fd00::212:4b00:615:aaee,171,0,315,23096,17456,0,1492,3192
fd00::212:4b00:615:aaee,171,0,316,22858,17464,0,1492,3191
fd00::212:4b00:615:aaee,171,0,317,22858,17464,0,1492,3191
fd00::212:4b00:615:aaee,171,0,318,23096,17464,0,1492,3191
fd00::212:4b00:615:aaee,171,0,319,22858,17464,0,1492,3189
fd00::212:4b00:615:aaee,171,0,320,22858,17464,0,1492,3188
fd00::212:4b00:615:aaee,171,0,321,23096,17468,0,1492,3189
fd00::212:4b00:615:aaee,171,0,322,22858,17464,0,1492,3189
fd00::212:4b00:615:aaee,171,0,323,22620,17464,0,1492,3187
fd00::212:4b00:615:aaee,171,0,324,22620,17468,0,1492,3186
fd00::212:4b00:615:aaee,171,0,325,22620,17472,0,1488,3185
fd00::212:4b00:615:aaee,171,0,326,22858,17468,0,1492,3185
fd00::212:4b00:615:aaee,171,0,327,23096,17468,0,1492,3186
fd00::212:4b00:615:aaee,171,0,328,22620,17468,0,1492,3184
fd00::212:4b00:615:aaee,171,0,329,22858,17468,0,1492,3183
fd00::212:4b00:615:aaee,171,0,330,22858,17464,0,1492,3182
fd00::212:4b00:615:aaee,171,0,331,22620,17460,0,1492,3180
fd00::212:4b00:615:aaee,171,0,332,23096,17468,0,1492,3181
fd00::212:4b00:615:aaee,171,0,333,22620,17472,0,1492,3179
fd00::212:4b00:615:aaee,171,0,334,22858,17468,0,1492,3180
fd00::212:4b00:615:aaee,171,0,335,22620,17468,0,1492,3178
fd00::212:4b00:615:aaee,171,0,336,22620,17468,0,1492,3176
fd00::212:4b00:615:aaee,171,0,337,22620,17468,0,1492,3176
fd00::212:4b00:615:aaee,171,0,338,22858,17468,0,1492,3178
fd00::212:4b00:615:aaee,171,0,339,22620,17468,0,1492,3176
fd00::212:4b00:615:aaee,171,0,340,22858,17472,0,1488,3175
